waktu,filtering,tweets,polarity_score,polarity
2022-04-10 14:31:05,"['informasi', 'wilayah', 'jabar', 'dasar', 'level']",informasi wilayah jabar dasar level,2,1
2022-04-10 14:29:48,"['bengong', 'gituuuu', 'aduuhh', 'lanjur', 'suka', 'bilang', 'ppkm', 'nandut', 'tertawa']",bengong gituuuu aduuhh lanjur suka bilang ppkm nandut tertawa,5,1
2022-04-10 14:28:33,"['aduh', 'tertawa', 'banget', 'yujun', 'suka', 'ppkm', 'wkwkwkw']",aduh tertawa banget yujun suka ppkm wkwkwkw,5,1
2022-04-10 14:24:10,"['jaman', 'pandemi', 'iya', 'babak', 'bur', 'ppkm', 'kasih', 'nafas', 'usaha', 'kuliner']",jaman pandemi iya babak bur ppkm kasih nafas usaha kuliner,-13,0
2022-04-10 14:23:20,"['jakarta', 'ppkm', 'level', 'anies', 'warung tegal', 'restoran', 'buka', 'wib', 'kapasitas', 'persen', '']",jakarta ppkm level anies warung tegal restoran buka wib kapasitas persen ,1,1
2022-04-10 14:18:14,"['jabat', 'luhut', 'pandjaitan', 'perintah', 'jokowi', 'menko', 'maritim', 'investasi', 'wakil', 'ketua', 'kpcpen', '']",jabat luhut pandjaitan perintah jokowi menko maritim investasi wakil ketua kpcpen ,-3,0
2022-04-10 14:14:35,"['kodim', 'karanganyar', 'minggu', 'tanggal', 'april', 'peltu', 'tohari', 'anggota', 'koramil', 'ngargoyoso', 'mel']",kodim karanganyar minggu tanggal april peltu tohari anggota koramil ngargoyoso mel,-7,0
2022-04-10 14:13:20,"['politik', 'corona', 'demo', 'miskin', 'paksa', 'ikutmandatory', 'vaksin', 'hidup', 'kian', 'mahal', 'phk']",politik corona demo miskin paksa ikutmandatory vaksin hidup kian mahal phk,-14,0
2022-04-10 14:09:20,"['kodim', 'karanganyar', 'serka', 'edi', 'purwanto', 'anggota', 'koramil', 'laksana', 'patroli', 'tegak']",kodim karanganyar serka edi purwanto anggota koramil laksana patroli tegak,-1,0
2022-04-10 14:07:04,"['untung', 'ppkm', 'henti', '']",untung ppkm henti ,-2,0
2022-04-10 14:05:02,"['wkwkwkwk', 'ppkm', 'ramai', 'melulu']",wkwkwkwk ppkm ramai melulu,-5,0
2022-04-10 14:03:30,"['serda', 'rohadi', 'babinsa', 'dsjati', 'laksana', 'giat', 'patroli', 'gabung', 'rangka', 'laksana', 'ppkm', 'level', 'batas']",serda rohadi babinsa dsjati laksana giat patroli gabung rangka laksana ppkm level batas,-6,0
2022-04-10 14:00:22,"['bts', 'lockdown', 'selese', 'ganti', 'ppkm', 'pilih']",bts lockdown selese ganti ppkm pilih,-2,0
2022-04-10 13:56:14,"['tahun', 'bohong', 'ppkm', 'tahun', 'bohong', 'alat', 'tes', 'tahun', 'bohong', 'masker', 'tahun', 'bohong', 'app', 'pel', 'tah']",tahun bohong ppkm tahun bohong alat tes tahun bohong masker tahun bohong app pel tah,-20,0
2022-04-10 13:48:40,"['onet', 'hoaks', 'juli', 'ppkm', 'pantaas', 'baca', 'bikin', 'berisik']",onet hoaks juli ppkm pantaas baca bikin berisik,2,1
2022-04-10 13:38:15,"['koramil', 'tawangmangu', 'serka', 'edi', 'anggota', 'koramil', 'tawangmangu', 'laksana', 'patroli', 'tegak']",koramil tawangmangu serka edi anggota koramil tawangmangu laksana patroli tegak,-1,0
2022-04-10 13:37:48,"['ppkm', 'lvl', 'gas', 'kola', 'kola', 'ptm']",ppkm lvl gas kola kola ptm,-4,0
2022-04-10 13:36:44,"['bandung', 'ppkm', 'level', 'wartegmal', 'operasi', 'wib', 'detikcom']",bandung ppkm level wartegmal operasi wib detikcom,0,1
2022-04-10 13:36:32,"['posko', 'siaga', 'bencanappkm', 'lurah', 'lae', 'lae', 'malam', 'recover', 'centre', 'peduli', 'ki', 'ki']",posko siaga bencanappkm lurah lae lae malam recover centre peduli ki ki,2,1
2022-04-10 13:30:47,"['minggu', 'april', 'pkl', 'wib', 'sd', 'selesai', 'serka', 'joko', 'waliman', 'laksana', 'giat', 'patroli', 'gabung', 'aip']",minggu april pkl wib sd selesai serka joko waliman laksana giat patroli gabung aip,-1,0
2022-04-10 13:29:53,"['koramil', 'tawangmangu', 'sertu', 'eko', 'yulianto', 'anggota', 'laksana', 'patroli', 'tega', 'disiplin', 'protoko']",koramil tawangmangu sertu eko yulianto anggota laksana patroli tega disiplin protoko,-3,0
2022-04-10 13:28:33,"['update', 'ppkm', 'jawabali', 'periode', 'april', 'kabupatenkota', 'jawabali', 'ketegori', 'ppkm']",update ppkm jawabali periode april kabupatenkota jawabali ketegori ppkm,0,1
2022-04-10 13:20:48,"['ikan', 'himbauan', 'protkes', 'dilaksanakna', 'operasi', 'yustisipenyekatan', 'laksana', 'ppkm', 'level', 'batas', 'mo']",ikan himbauan protkes dilaksanakna operasi yustisipenyekatan laksana ppkm level batas mo,-2,0
2022-04-10 12:57:33,"['drhcublag', 'gigolo', 'mama', 'na', 'aa', 'sayang', 'ogo', 'sono', 'bageur', 'ogo', 'sayang', 'danguken', 'statis', 'struktur', 'ngentot']",drhcublag gigolo mama na aa sayang ogo sono bageur ogo sayang danguken statis struktur ngentot,8,1
2022-04-10 12:56:38,"['anggota', 'koramil', 'karangpandan', 'laksana', 'patroli', 'ppkm', 'terminal', 'karangpandan', 'giat', 'masker']",anggota koramil karangpandan laksana patroli ppkm terminal karangpandan giat masker,-4,0
2022-04-10 12:53:08,"['minggu', 'tanggal', 'april', 'pkl', 'wib', 'sd', 'selesai', 'laksana', 'giat', 'patroli', 'rangka']",minggu tanggal april pkl wib sd selesai laksana giat patroli rangka,0,1
2022-04-10 12:52:03,"['mari', 'bantu', 'porter', 'dampak', 'ppkm', 'bantu', 'donasi', 'klik']",mari bantu porter dampak ppkm bantu donasi klik,-2,0
2022-04-10 12:51:58,"['tindas', 'rezim', 'jokowi', 'kalah', 'brutal', 'harga', 'pajak', 'kkn']",tindas rezim jokowi kalah brutal harga pajak kkn,-14,0
2022-04-10 12:38:31,"['atur', 'jam', 'operasional', 'fasilitas', 'ubah', 'daerah', 'de']",atur jam operasional fasilitas ubah daerah de,-2,0
2022-04-10 12:38:28,"['sampurasun', 'wargi', 'fasilitas', 'upa', 'pusat', 'belanja', 'mal', 'pusat', 'dagang', 'warung', 'makan', 'restoran', 'kafe']",sampurasun wargi fasilitas upa pusat belanja mal pusat dagang warung makan restoran kafe,-3,0
2022-04-10 12:14:40,"['marm', 'kirain', 'rapat', 'ppkm', '']",marm kirain rapat ppkm ,-2,0
2022-04-10 12:01:14,"['yustisi', 'ppkm', 'level', 'polsek', 'wates']",yustisi ppkm level polsek wates,0,1
2022-04-10 12:00:01,"['sahabat', 'tije', 'senin', 'april', 'layan', 'transjakarta', 'sesuai', 'jam', 'operasi']",sahabat tije senin april layan transjakarta sesuai jam operasi,4,1
2022-04-10 11:59:44,"['iya', 'pergi', 'status', 'ppkm', 'normal', '']",iya pergi status ppkm normal ,-1,0
2022-04-10 11:47:27,"['minggu', 'april', 'pkl', 'wib', 'sd', 'selesai', 'serka', 'joko', 'waliman', 'laks', 'giat', 'patroli', 'gabung', 'aiptu', 'dars']",minggu april pkl wib sd selesai serka joko waliman laks giat patroli gabung aiptu dars,-1,0
2022-04-10 11:22:49,"['ppkm', 'versi', 'anak', 'kls', 'sd']",ppkm versi anak kls sd,0,1
2022-04-10 11:16:37,"['efek', 'ppkm', 'tidak bisa', 'lebaran', 'ponakan', 'mengsedih', '']",efek ppkm tidak bisa lebaran ponakan mengsedih ,3,1
2022-04-10 11:14:12,"['acak', 'acak', 'malas', 'salon', 'waktu', 'ppkm', 'salon']",acak acak malas salon waktu ppkm salon,-14,0
2022-04-10 10:49:34,"['sopo', 'sing', 'mbalesi', 'ppkm']",sopo sing mbalesi ppkm,5,1
2022-04-10 10:24:13,"['giat', 'patroli', 'rangka', 'laksana', 'ppkm', 'level', 'batas', 'mobilitas', 'pindah', 'masyarakat', 'wila']",giat patroli rangka laksana ppkm level batas mobilitas pindah masyarakat wila,-3,0
2022-04-10 10:18:11,"['abud', 'klaim', 'macet', 'ppkm', 'jilid']",abud klaim macet ppkm jilid,-5,0
2022-04-10 10:14:46,"['kodim', 'karanganyar', 'koramil', 'jatiyoso', 'sertu', 'sri', 'sudiyanto', 'babinsa', 'ds', 'tlobo', 'laksana', 'komsos']",kodim karanganyar koramil jatiyoso sertu sri sudiyanto babinsa ds tlobo laksana komsos,0,1
2022-04-10 10:13:53,"['coba', 'smart', 'thermos', 'suhu', 'air', '', 'gm', 'bear', 'termos', 'air', 'panas', 'ml', 'suhu', 'display', 'led', 'link', 'sho']",coba smart thermos suhu air  gm bear termos air panas ml suhu display led link sho,0,1
2022-04-10 10:09:10,"['kodim', 'karanganyar', 'sertu', 'ari', 'andrianto', 'anggota', 'koramil', 'matesih', 'laksana', 'giat', 'patroli', 'ppkm', 'level']",kodim karanganyar sertu ari andrianto anggota koramil matesih laksana giat patroli ppkm level,-1,0
2022-04-10 10:06:27,"['jakarta', 'ppkm', 'level', 'anies', 'baswedan', 'kapasitas', 'mal', 'persen', 'jam', 'operasional', 'wib', 'ht']",jakarta ppkm level anies baswedan kapasitas mal persen jam operasional wib ht,5,1
2022-04-10 10:05:50,"['ambil', 'puasa', 'coba', 'atur', 'jaga', 'jarak', 'waktu', 'ppkm', 'diberlakukanrest']",ambil puasa coba atur jaga jarak waktu ppkm diberlakukanrest,-7,0
2022-04-10 10:05:34,"['pkl', 'wib', 'sd', 'selesai', 'laksana', 'giat', 'patroli', 'gabung', 'polsek', 'gondang', 'rangka', 'laksana']",pkl wib sd selesai laksana giat patroli gabung polsek gondang rangka laksana,-1,0
2022-04-10 10:02:38,"['anggota', 'koramil', 'masaran', 'laksana', 'giat', 'patroli', 'laksana', 'ppkm', 'level', 'ii', 'batas', 'mobilitas', 'pindah']",anggota koramil masaran laksana giat patroli laksana ppkm level ii batas mobilitas pindah,-6,0
2022-04-10 10:00:16,"['serasa', 'kaya', 'ppkm', 'elf', '']",serasa kaya ppkm elf ,0,1
2022-04-10 09:58:08,"['kodim', 'karanganyar', 'minggu', 'tanggal', 'april', 'dpp', 'pelda', 'riyanto', 'bati', 'wanwil', 'koramil', 'jmp', 'anggota']",kodim karanganyar minggu tanggal april dpp pelda riyanto bati wanwil koramil jmp anggota,-7,0
2022-04-10 09:56:41,"['jakarta', 'ppkm', 'level', 'anies', 'baswedan', 'kapasitas', 'mal', 'persen', 'jam', 'operasional', 'wib', '']",jakarta ppkm level anies baswedan kapasitas mal persen jam operasional wib ,5,1
2022-04-10 09:53:01,"['dangka', 'fatality', 'rate', 'elevel', 'ppkm', 'transmisi', 'lokal', 'level', 'tingkat', 'kondisi', 'kondi']",dangka fatality rate elevel ppkm transmisi lokal level tingkat kondisi kondi,1,1
2022-04-10 09:51:27,"['anggota', 'koramil', 'kalijambe', 'laksana', 'giat', 'patroli', 'laksana', 'ppkm', 'level', 'ii', 'batas', 'mobilitas', 'pindah']",anggota koramil kalijambe laksana giat patroli laksana ppkm level ii batas mobilitas pindah,-6,0
2022-04-10 09:46:35,"['kodim', 'karanganyar', 'minggu', 'april', 'sd', 'selesai', 'peltu', 'tohari', 'anggota', 'koramil']",kodim karanganyar minggu april sd selesai peltu tohari anggota koramil,-1,0
2022-04-10 09:45:19,"['update', 'ppkm', 'jawabali', 'periode', 'april', 'sumber', 'pandu']",update ppkm jawabali periode april sumber pandu,3,1
2022-04-10 09:27:11,"['kodim', 'pontianak', 'laksana', 'ppkm', 'skala', 'mikro', 'minggu', 'dim', 'pontianak']",kodim pontianak laksana ppkm skala mikro minggu dim pontianak,-3,0
2022-04-10 09:22:45,"['tular', 'virus', 'ancam', 'supply', 'makan', 'akibat', 'lockdown', 'shanghai', 'pemba']",tular virus ancam supply makan akibat lockdown shanghai pemba,-10,0
2022-04-10 09:07:58,"['patroli', 'himbauan', 'tegur', 'dagang', 'beli', 'pasar', 'krempyeng', 'pandean', 'lamper', 'semarang', 'dala']",patroli himbauan tegur dagang beli pasar krempyeng pandean lamper semarang dala,0,1
2022-04-10 09:01:43,"['koramil', 'jatiyoso', 'sertu', 'sri', 'sudiyanto', 'babinsa', 'tlobo', 'koramil', 'jatiyoso', 'komsos', 'warga', 'dusun', 'nglogung', 'desa']",koramil jatiyoso sertu sri sudiyanto babinsa tlobo koramil jatiyoso komsos warga dusun nglogung desa,0,1
2022-04-10 09:00:57,"['haru', 'kayak', 'dukung', 'janu', 'sepenuh', 'hati', 'despite', 'keppkman', '', 'aamiiin', 'aamiiiinnnnnnn']",haru kayak dukung janu sepenuh hati despite keppkman  aamiiin aamiiiinnnnnnn,1,1
2022-04-10 09:00:46,"['ppkm', 'mbak']",ppkm mbak,0,1
2022-04-10 08:58:21,"['jam', 'malam', 'besok', 'sesuai', 'ppkm', 'level']",jam malam besok sesuai ppkm level,2,1
2022-04-10 08:49:50,"['prosentasi', 'vaksin', 'tinggi', 'paksa', 'adminsitrasi', 'ppkm']",prosentasi vaksin tinggi paksa adminsitrasi ppkm,-3,0
2022-04-10 08:39:36,"['anggota', 'koramil', 'karangmalang', 'rutin', 'laksana', 'giat', 'patroli', 'rangka', 'laksana', 'ppkm', 'level', 'ii', 'me']",anggota koramil karangmalang rutin laksana giat patroli rangka laksana ppkm level ii me,-1,0
2022-04-10 08:36:40,"['patroli', 'gabung', 'malam', 'ppkm', 'level', 'koramil', 'kd', 'kodim', 'jb', 'pilar', 'kalideres', 'rangka', 'ppkm', 'le']",patroli gabung malam ppkm level koramil kd kodim jb pilar kalideres rangka ppkm le,-4,0
2022-04-10 08:13:53,"['mendagri', 'terima', 'kasih', 'camat', 'laksana', 'bijak', 'perintah', 'be']",mendagri terima kasih camat laksana bijak perintah be,2,1
2022-04-10 08:13:06,"['laksana', 'giat', 'rutin', 'tingkat', 'kryd', 'operasi', 'yustisi', 'tega', 'disiplin', 'protokol', 'sehat']",laksana giat rutin tingkat kryd operasi yustisi tega disiplin protokol sehat,3,1
2022-04-10 08:11:45,"['karanganyar', 'minggu', 'april', 'sertu', 'supriyanto', 'serda', 'imam', 'maulidin', 'anggota', 'koramil', 'karangpandan', 'laksa']",karanganyar minggu april sertu supriyanto serda imam maulidin anggota koramil karangpandan laksa,-5,0
2022-04-10 08:11:19,"['garr', 'uang', 'ppkm', 'jarak', 'ajak', 'bukber']",garr uang ppkm jarak ajak bukber,1,1
2022-04-10 08:09:50,"['bntr', 'lagu', 'ppkm']",bntr lagu ppkm,2,1
2022-04-10 08:08:10,"['banyak bicara', 'teriak', 'ppkm', 'rakyat', 'sengsara']",banyak bicara teriak ppkm rakyat sengsara,-10,0
2022-04-10 08:05:34,"['karanganyar', 'minggu', 'april', 'peltu', 'tohari', 'anggota', 'koramil', 'ngargoyoso', 'laksana', 'kegiata']",karanganyar minggu april peltu tohari anggota koramil ngargoyoso laksana kegiata,-3,0
2022-04-10 07:59:54,"['karanganyar', 'minggu', 'april', 'sertu', 'vrito', 'anggota', 'koramil', 'jumantono', 'anggota', 'polsek', 'jumantono', 'mela']",karanganyar minggu april sertu vrito anggota koramil jumantono anggota polsek jumantono mela,-6,0
2022-04-10 07:51:42,"['anggota', 'koramil', 'karangmalang', 'laksana', 'giat', 'patroli', 'laksana', 'ppkm', 'level', 'ii', 'batas', 'mobilitas', 'pin']",anggota koramil karangmalang laksana giat patroli laksana ppkm level ii batas mobilitas pin,-4,0
2022-04-10 07:44:51,"['anggota', 'koramil', 'sumberlawang', 'laksana', 'giat', 'patroli', 'gabung', 'rangka', 'laksana', 'ppkm', 'level', 'batas']",anggota koramil sumberlawang laksana giat patroli gabung rangka laksana ppkm level batas,-9,0
2022-04-10 07:43:26,"['siape', 'sie', 'ppkm']",siape sie ppkm,0,1
2022-04-10 07:43:06,"['', '', '', '', 'au', 'thailand', 'panaspanasnya', 'ac', 'rumah', 'ohmnon', 'rusak', 'ppkm', 'bikin']",    au thailand panaspanasnya ac rumah ohmnon rusak ppkm bikin,-1,0
2022-04-10 07:32:44,"['dukung', 'ppkm', 'cepat', 'vaksinasi']",dukung ppkm cepat vaksinasi,4,1
2022-06-03 13:49:00,"['banggota', 'koramil', 'ngrampal', 'laksana', 'patroli', 'rangka', 'batas', 'giat', 'masyarakat', 'ppkm', 'dxexxa']",banggota koramil ngrampal laksana patroli rangka batas giat masyarakat ppkm dxexxa,-1,0
2022-06-03 13:47:01,"['meme', 'ppkm']",meme ppkm,0,1
2022-06-03 13:46:41,"['banggota', 'koramil', 'kedawung', 'laksana', 'giat', 'patroli', 'laksana', 'ppkm', 'level', 'ii', 'batas', 'mobilitas', 'perpindahaxexxa']",banggota koramil kedawung laksana giat patroli laksana ppkm level ii batas mobilitas perpindahaxexxa,-1,0
2022-06-03 13:45:01,"['bkebijakan', 'ganjil', 'genap', 'ruas', 'senin', 'bijak', 'iring', 'pemberlakxexxa']",bkebijakan ganjil genap ruas senin bijak iring pemberlakxexxa,-4,0
2022-06-03 13:40:05,"['jam', 'malam', 'supermarket', 'ppkm', 'cenah']",jam malam supermarket ppkm cenah,-1,0
2022-06-03 13:35:45,"['bpada', 'jumat', 'juni', 'pkl', 'wib', 'sd', 'selesai', 'laksana', 'giat', 'patroli', 'gabung', 'polsek', 'sumberxexxa']",bpada jumat juni pkl wib sd selesai laksana giat patroli gabung polsek sumberxexxa,1,1
2022-06-03 13:33:39,"['btangkal', 'covid', 'serma', 'jumarno', 'awas', 'terap', 'ppkm', 'level']",btangkal covid serma jumarno awas terap ppkm level,1,1
2022-06-03 13:32:14,"['paham', 'satiresindiran', 'yanmaaf', 'baca', 'poin', 'deklarasi', 'rawan', 'ganjarnndi', 'jatixexxa']",paham satiresindiran yanmaaf baca poin deklarasi rawan ganjarnndi jatixexxa,-4,0
2022-06-03 13:27:14,"['bjakarta', 'ppkm', 'level', 'mal', 'ramai', 'unjung']",bjakarta ppkm level mal ramai unjung,-2,0
2022-06-03 13:26:43,"['mendes', 'pdtt', 'abdul', 'halim', 'iskandar', 'bangga', 'dekan', 'fkui', 'jajar', 'jajar', 'pengurusxexxa']",mendes pdtt abdul halim iskandar bangga dekan fkui jajar jajar pengurusxexxa,3,1
2022-06-03 13:22:52,"['bjakarta', 'ppkm', 'level', 'mal', 'ramai', 'unjung', 'nn']",bjakarta ppkm level mal ramai unjung nn,-2,0
2022-06-03 13:15:00,"['bbeberapa', 'wilayah', 'ppkm', 'akses', 'masyarakat', 'mudah', 'syarat', 'ininn']",bbeberapa wilayah ppkm akses masyarakat mudah syarat ininn,5,1
2022-06-03 13:13:20,"['bri', 'ppkm', 'zona', 'merah', 'mbak', 'puan']",bri ppkm zona merah mbak puan,1,1
2022-06-03 13:11:40,"['bri', 'ri', 'indonesia', 'bebas', 'ppkm']",bri ri indonesia bebas ppkm,-4,0
2022-06-03 13:07:46,"['ppkm', 'sedang apa', 'xfxfxxad']",ppkm sedang apa xfxfxxad,0,1
2022-06-03 13:05:07,"['bri', 'henti', 'ppkm', 'mbk', 'puan']",bri henti ppkm mbk puan,-4,0
2022-06-03 13:04:07,"['bpada', 'jumat', 'tanggal', 'mei', 'pkl', 'wib', 'sd', 'selesai', 'laksana', 'giat', 'patroli', 'rangka', 'pelaksanxexxa']",bpada jumat tanggal mei pkl wib sd selesai laksana giat patroli rangka pelaksanxexxa,2,1
2022-06-03 13:02:08,"['ppkm', 'ketat']",ppkm ketat,-3,0
2022-06-03 13:01:02,"['banggota', 'koramil', 'sragen', 'laksana', 'giatxcxa', 'patroli', 'rangkaxcxa', 'laksana', 'ppkm', 'level', 'ii', 'batas', 'mobixexxa']",banggota koramil sragen laksana giatxcxa patroli rangkaxcxa laksana ppkm level ii batas mobixexxa,-1,0
2022-06-03 13:00:43,"['berangkat', 'batal', 'waktu', 'covid', 'ppkm', 'kasitau', 'bagus', 'tau', 'dago']",berangkat batal waktu covid ppkm kasitau bagus tau dago,-11,0
2022-06-03 12:58:06,"['bri', 'alhamdulilah', 'mbk', 'puan', 'corona', 'engk', 'engk', 'ppkm']",bri alhamdulilah mbk puan corona engk engk ppkm,3,1
2022-06-03 12:57:45,"['bpada', 'jumat', 'tanggal', 'juni', 'pkl', 'wibxcxa', 'sd', 'selesai', 'laksana', 'giatxcxa', 'patroli', 'gabung', 'polsekxexxa']",bpada jumat tanggal juni pkl wibxcxa sd selesai laksana giatxcxa patroli gabung polsekxexxa,-3,0
2022-06-03 12:56:24,"['banggota', 'koramil', 'tanonnpkl', 'wib', 'sd', 'selesai', 'laksana', 'giatxcxa', 'patroli', 'rangkaxcxa', 'laksana', 'ppkxexxa']",banggota koramil tanonnpkl wib sd selesai laksana giatxcxa patroli rangkaxcxa laksana ppkxexxa,4,1
2022-06-03 12:54:48,"['bpada', 'jumat', 'tanggal', 'mei', 'pkl', 'wib', 'sd', 'selesai', 'laksana', 'giat', 'patroli', 'rangka', 'pelxexxa']",bpada jumat tanggal mei pkl wib sd selesai laksana giat patroli rangka pelxexxa,2,1
2022-06-03 12:50:01,"['bpuan', 'perintah', 'strategi', 'matang', 'komprehensif', 'ppkm', 'cabut']",bpuan perintah strategi matang komprehensif ppkm cabut,-5,0
2022-06-03 12:48:54,"['bxexxcwalaupun', 'kondisi', 'covid', 'indonesia', 'kendali', 'cabut', 'ppkm', 'jaga', 'menimbulkxexxa']",bxexxcwalaupun kondisi covid indonesia kendali cabut ppkm jaga menimbulkxexxa,-6,0
2022-06-03 12:42:22,"['asc', 'ppkmnpemenang', 'pilih kepala daerah', 'mayat']",asc ppkmnpemenang pilih kepala daerah mayat,-4,0
2022-06-03 12:40:15,"['bomah', 'iki', 'ppkm', 'pas', 'kae', 'ki', 'jan', 'mara', 'pusing', 'hahaha']",bomah iki ppkm pas kae ki jan mara pusing hahaha,-5,0
2022-06-03 12:37:00,"['bdengan', 'ppkm', 'level', 'tingkat', 'volume', 'lintas', 'bijak', 'ganjilgenap', 'jadwal', 'diterapxexxa']",bdengan ppkm level tingkat volume lintas bijak ganjilgenap jadwal diterapxexxa,0,1
2022-06-03 12:29:19,"['bkasus', 'covid', 'tinggi', 'kota', 'malang', 'ppkm', 'level', 'nn']",bkasus covid tinggi kota malang ppkm level nn,-5,0
2022-06-03 12:27:43,"['bpenerangan', 'keliling', 'himbau', 'prokes', 'nnsosialisasi', 'inmendagri', 'nomor', 'tahun', 'kait', 'ppkm', 'prokes', 'polresxexxa']",bpenerangan keliling himbau prokes nnsosialisasi inmendagri nomor tahun kait ppkm prokes polresxexxa,1,1
2022-06-03 12:24:38,"['pekanbaru', 'ppkm', 'level']",pekanbaru ppkm level,0,1
2022-06-03 12:12:16,"['baan', 'tutup', 'goro', 'goro', 'ppkm', 'mesti', 'xfxfxaxaxfxfxaxaxfxfxaxanbetulll', 'pasrahke', 'illahinek', 'urus', 'pusing', 'dewe', 'asli', 'xfxfxx']",baan tutup goro goro ppkm mesti xfxfxaxaxfxfxaxaxfxfxaxanbetulll pasrahke illahinek urus pusing dewe asli xfxfxx,-7,0
2022-06-03 12:09:25,"['banget', 'apalg', 'semenjak', 'ppkm']",banget apalg semenjak ppkm,0,1
2022-06-03 11:56:06,"['bjujur', 'iya', 'suka', 'kondisi', 'jalan', 'jaksel', 'pas', 'ppkm', 'level', 'macet', 'dimanamana', 'bikin', 'stress']",bjujur iya suka kondisi jalan jaksel pas ppkm level macet dimanamana bikin stress,0,1
2022-06-03 11:54:21,"['asa', 'bocor', 'xfxfxaxa', 'berangkat', 'bogor', 'tahan', 'dibanyaxexxa']",asa bocor xfxfxaxa berangkat bogor tahan dibanyaxexxa,-8,0
2022-06-03 11:47:03,"['pilpres', 'ppkm', 'ekonomi', 'pdhal', 'sifat', 'global', 'slhkan', 'perintah', 'presiden']",pilpres ppkm ekonomi pdhal sifat global slhkan perintah presiden,1,1
2022-06-03 11:37:20,"['banggota', 'koramil', 'nguter', 'sukoharjo', 'laksana', 'tugas', 'patroli', 'edukasi', 'masyarakat', 'untxexxa']",banggota koramil nguter sukoharjo laksana tugas patroli edukasi masyarakat untxexxa,1,1
2022-06-03 11:35:25,"['bsertu', 'rohmad', 'laksana', 'giatxcxa', 'patroli', 'gabung', 'aiptu', 'budi', 'bripka', 'wahyu', 'polsek', 'sukodono', 'rangkaxexxa']",bsertu rohmad laksana giatxcxa patroli gabung aiptu budi bripka wahyu polsek sukodono rangkaxexxa,1,1
2022-06-03 11:34:04,"['bgiat', 'patroli', 'rangka', 'laksana', 'ppkm', 'level', 'ii', 'batas', 'mobilitas', 'pindah', 'masyarakat', 'wixexxa']",bgiat patroli rangka laksana ppkm level ii batas mobilitas pindah masyarakat wixexxa,-3,0
2022-06-03 11:31:44,"['bgiatxcxa', 'patroli', 'gabung', 'aipda', 'ridwan', 'bripka', 'agtri', 'polsek', 'sukodono', 'rangkaxcxa', 'laksana', 'ppkm', 'levelxexxa']",bgiatxcxa patroli gabung aipda ridwan bripka agtri polsek sukodono rangkaxcxa laksana ppkm levelxexxa,-3,0
2022-06-03 11:30:45,"['banggota', 'koramil', 'kalijambe', 'laksana', 'patroli', 'gabung', 'rangka', 'laksana', 'ppkm', 'level', 'ii', 'batas', 'mobxexxa']",banggota koramil kalijambe laksana patroli gabung rangka laksana ppkm level ii batas mobxexxa,-6,0
2022-06-03 11:30:06,"['bgiatxcxa', 'patroli', 'gabung', 'polsek', 'golong', 'rangkaxcxa', 'laksana', 'ppkm', 'level', 'ii', 'batas', 'mobilitas', 'perpinxexxa']",bgiatxcxa patroli gabung polsek golong rangkaxcxa laksana ppkm level ii batas mobilitas perpinxexxa,-6,0
2022-06-03 11:29:18,"['bgiatxcxa', 'patroli', 'rangkaxcxa', 'laksana', 'ppkm', 'level', 'ii', 'batas', 'mobilitas', 'pindah', 'masyarakat', 'wixexxa']",bgiatxcxa patroli rangkaxcxa laksana ppkm level ii batas mobilitas pindah masyarakat wixexxa,-3,0
2022-06-03 11:20:36,"['bsertu', 'heryawan', 'laksana', 'giatxcxa', 'patroli', 'gabung', 'aipda', 'ridwan', 'bripka', 'agtri', 'polsek', 'sukodono', 'rangxexxa']",bsertu heryawan laksana giatxcxa patroli gabung aipda ridwan bripka agtri polsek sukodono rangxexxa,-3,0
2022-06-03 11:11:38,"['bperasaan', 'bocor', 'xfxfxaxa', 'berangkat', 'bogor', 'tahan', 'dibaxexxa']",bperasaan bocor xfxfxaxa berangkat bogor tahan dibaxexxa,-9,0
2022-06-03 11:11:36,"['direct', 'selling', 'rapsodi', 'ppkm']",direct selling rapsodi ppkm,0,1
2022-06-03 11:09:51,"['bgiat', 'patroli', 'gabung', 'polsek', 'sumberlawang', 'rangka', 'laksana', 'ppkm', 'level', 'ii', 'batas', 'mobilitas', 'perxexxa']",bgiat patroli gabung polsek sumberlawang rangka laksana ppkm level ii batas mobilitas perxexxa,-6,0
2022-06-03 11:09:06,"['bpukul', 'wib', 'sd', 'selesai', 'laksana', 'giat', 'patroli', 'gabung', 'rangka', 'laksana', 'ppkm', 'level', 'memxexxa']",bpukul wib sd selesai laksana giat patroli gabung rangka laksana ppkm level memxexxa,-1,0
2022-06-03 10:57:07,"['ppkm', 'planga', 'plongo', 'kaya', 'monyet']",ppkm planga plongo kaya monyet,-3,0
2022-06-03 10:56:03,"['ppkm', 'tidak ada uang', 'beginiiiiiii']",ppkm tidak ada uang beginiiiiiii,0,1
2022-06-03 10:51:42,"['bgiat', 'patroli', 'gabung', 'polsek', 'trantib', 'sidoharjo', 'rangka', 'laksana', 'ppkm', 'level', 'ii', 'batas', 'mobxexxa']",bgiat patroli gabung polsek trantib sidoharjo rangka laksana ppkm level ii batas mobxexxa,-6,0
2022-06-03 10:46:57,"['bppkm', 'tidak ada uang', 'beginiiiiiii']",bppkm tidak ada uang beginiiiiiii,0,1
